2,4,15 	289
8,17 	2182
2,4,16 	2
2,4,13 	15
8,15 	86
15,22 	72
2,3,4,5,9,10,14,15,21 	1
2,4,14 	17
8,16 	4799
2,4,11 	381
1,4,6,12,19 	3
2,4,12 	167
8,19 	704
2,4,10 	3
4,5,6,11,21 	3
6,17,19 	1
8,10 	6
2,4,19 	22
8,14 	1
2,4,17 	1
3,4,5,6,9,15,22 	6
8,11 	152
2,4,18 	1
8,12 	90
2,3,9,12,15,21,22 	3
3,14,21 	4
2,3,5,21,22 	2
2,3,4,6,8,9,10,12,15,17,19,21,22 	1
3,4,6,8,9,12,15,17,19,21,22 	1
7,10,15,16 	4
4,6,8,11,16,17,19 	1
2,4,22 	21
2,4,23 	9
4,11,15,19 	5
2,4,20 	5
2,4,21 	2
8,20 	1
6,12,15,19 	8
4,5,6,11,15 	146
4,5,6,11,19 	215
8,22 	109
1 	1357813
2 	23212
2,4,7,11,15 	1
3 	1949
4 	3672978
5 	1285710
6 	18213685
7 	13502
8 	272667
9 	706
1,2,5,11,15 	1
2,3,5,9,15,21 	10
2,3,8,9,12,15,21,22 	4
6,7 	5184
6,8 	1395
6,9 	147
1,7,8,15 	4
3,4,6,11,12,15,19 	1
2,3,6,15,21 	1
1,2,10 	3
1,2,11 	15
1,2,12 	3
2,3,6,15,19 	3
1,2,13 	4
3,5,6,9,12,15,17,19,21 	2
7,13,14,20,23 	7
1,2,15 	98
1,2,16 	760
7,13,14,20,21 	3
1,2,19 	158
2,10,14,15,21 	1
15,17 	44
15,16 	104
3,5,6,9,10,15,17,19,21 	1
2,3,6,8,9,10,15,17,19,21 	2
2,3,8,9,15,21 	6
6,8,16,17,19 	1
2,3,4,5,6,8,11,19 	1
15,19 	3430
1,4,6,8,11,17,19 	1
2,5,10,11 	1
1,2,8,11,12,19 	9
11,16,19 	18
11,16,17 	1
7,18,20,21,23 	81
2,6,7,17,18 	1
6,9,15,19,21 	1
1,4,5,6,11,15,19 	14
4,7,14,18,20,21 	1
3,4,5,6,11 	58
2,6,8,9,10,12,15,17,19,21 	1
1,2,4,6,8,16,22 	36
2,5,10,21 	2
3,6,10 	1
3,4,6,9,14,15,22 	1
3,6,11 	2
4,8,11,16,17 	5
2,4,6,9,15,17,19,21,22 	1
1,2,21 	1
9,21,23 	2
1,2,22 	8
2,5,10,15 	29
3,6,19 	7
3,6,12 	1
3,6,15 	51
1,2,4,6,12,19 	1
3,6,22 	16
2,3,8,9,21 	1
7,13,18,21 	13
1,6,8,15,19 	8
7,13,18,20 	1
7,13,18,23 	3
2,5,6,10,12,15 	1
2,4,5,6,8,10,12,15,21,22 	1
2,3,5,8,9,15,21,22 	4
2,3,6,19 	2
3,4,5,6,15 	10
2,6,9,15,17,19,21 	1
3,4,5,6,19 	1
2,5,6,8,15,19 	9
1,2,5,7,15 	4
20,21,23 	82
2,3,5,6,12,14 	1
2,3,6,12 	1
2,3,6,15 	5
3,4,5,6,22 	2
5,7,14,18,20,21 	1
2,3,5,9,12,15,21 	4
1,2,10,15,16 	12
2,5,6,10,15 	21
4,6,8,9,12,15,19,21,22 	1
2,4,6,8,15,16,22 	1
4,6,15,16,19 	1
1,6,15,19 	95
4,5,6,11,14,21 	1
4,5,6,8,11 	37
13,20,21,23 	11
4,5,6,8,15 	10
13,21,23 	256
7,8,15,16,17,22 	1
1,4,5,6,8,19 	4
1,7,8,15,16,22 	24
4,5,6,8,19 	2
4,7,13,20 	3
4,5,7,13,20 	1
4,7,13,21 	1
4,7,13,23 	2
4,5,7,13,23 	1
4,7,13,14 	2
4,7,13,15 	1
2,8,15,16,22 	25
2,3 	76
4,5,6,11,14,19 	1
2,4 	37157
2,5 	3701
7,8,15,16,17,19 	1
2,6 	8557
2,5,6,7,13,20 	1
2,7 	129
2,8 	1544
2,3,4,5,9,10,12,14,15,21 	1
2,9 	9
3,5,9,15 	17
1,13,15 	2
1,7,8,15,16,17 	3
2,12,15 	3
1,2,4,6,8,16,17 	16
1,2,5,15,19 	1
2,4,5,10,15 	9
1,13,19 	1
2,3,4,5,8,9,10,12,14,15,21 	2
1,2,4,6,8,16,19 	4
